Unit,Category,Bucks,Antlerless,Total Harvest,Total Hunters,Percent Success,Total Rec. Days,TH23,PS23,TH22,PS22,threeyearsuccess,threeyearshunters,UnitList,gmu_area_sqmi,public_sqmi,percent_public,latitude,longitude,Acres,Acres Public,harvestunit,Hunters Density Per Sq. Mile,Hunters Density Per Public Sq. Mile,onx,Tags,OTC
NA,All Season Choice,66,52,118,352,33,2645,NA,NA,403,17,25%,378,"87, 88, 89, 90, 95",   NA,   NA,NA%,NA,NA,       NA,       NA,NA All Season Choice,NA,NA,NA,DP99999P,NA
NA,All Season Choice,41,56,97,329,30,1978,NA,NA,382,15,22%,356,"93, 97, 98, 99, 100",   NA,   NA,NA%,NA,NA,       NA,       NA,NA All Season Choice,NA,NA,NA,DP99999P,NA
NA,All Season Choice,36,37,73,225,33,1091,NA,NA,234,28,30%,230,"101, 102",   NA,   NA,NA%,NA,NA,       NA,       NA,NA All Season Choice,NA,NA,NA,DP99999P,NA
NA,Season Choice Archery,0,8,9,NA,NA,987,NA,NA,NA,NA,NaN%,NA,"87, 88, 89, 90, 95",   NA,   NA,NA%,NA,NA,       NA,       NA,NA Season Choice Archery,NA,NA,NA,DP99999P,NA
NA,Season Choice Muzzleloader,0,2,2,NA,NA,235,NA,NA,NA,NA,NaN%,NA,"87, 88, 89, 90, 95",   NA,   NA,NA%,NA,NA,       NA,       NA,NA Season Choice Muzzleloader,NA,NA,NA,DP99999P,NA
NA,Season Choice Rifle,30,29,58,NA,NA,1519,NA,NA,NA,NA,NaN%,NA,"87, 88, 89, 90, 95",   NA,   NA,NA%,NA,NA,       NA,       NA,NA Season Choice Rifle,NA,NA,NA,DP99999P,NA
NA,Season Choice Archery,2,4,7,NA,NA,681,NA,NA,NA,NA,NaN%,NA,"93, 97, 98, 99, 100",   NA,   NA,NA%,NA,NA,       NA,       NA,NA Season Choice Archery,NA,NA,NA,DP99999P,NA
NA,Season Choice Muzzleloader,0,2,2,NA,NA,112,NA,NA,NA,NA,NaN%,NA,"93, 97, 98, 99, 100",   NA,   NA,NA%,NA,NA,       NA,       NA,NA Season Choice Muzzleloader,NA,NA,NA,DP99999P,NA
NA,Season Choice Rifle,12,39,50,NA,NA,1449,NA,NA,NA,NA,NaN%,NA,"93, 97, 98, 99, 100",   NA,   NA,NA%,NA,NA,       NA,       NA,NA Season Choice Rifle,NA,NA,NA,DP99999P,NA
NA,Season Choice Archery,2,0,2,NA,NA,245,NA,NA,NA,NA,NaN%,NA,"101, 102",   NA,   NA,NA%,NA,NA,       NA,       NA,NA Season Choice Archery,NA,NA,NA,DP99999P,NA
NA,Season Choice Muzzleloader,0,0,0,NA,NA,33,NA,NA,NA,NA,NaN%,NA,"101, 102",   NA,   NA,NA%,NA,NA,       NA,       NA,NA Season Choice Muzzleloader,NA,NA,NA,DP99999P,NA
NA,Season Choice Rifle,29,33,62,NA,NA,799,NA,NA,NA,NA,NaN%,NA,"101, 102",   NA,   NA,NA%,NA,NA,       NA,       NA,NA Season Choice Rifle,NA,NA,NA,DP99999P,NA
1,All manners of take,9,0,9,15,63,71,16,94,12,79,79%,14,1,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 All manners of take,67.8,92.7,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365,"DM001O1A,DM001O1M,DM001O2R,DM001O3R",NA
1,All Rifle,8,0,8,13,65,56,16,94,11,86,82%,13,1,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 All Rifle,58.8,80.3,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365,"DM001O1A,DM001O1M,DM001O2R,DM001O3R",NA
