Unit,CategoryOldHarv,BucksOldHarv,AntlerlessOldHarv,Total HarvestOldHarv,Total HuntersOldHarv,Percent SuccessOldHarv,Total Rec. DaysOldHarv,TH23OldHarv,PS23OldHarv,TH22OldHarv,PS22OldHarv,threeyearsuccessOldHarv,threeyearshuntersOldHarv,slopeOldHarv,UnitListOldHarv,gmu_area_sqmiOldHarv,public_sqmiOldHarv,percent_publicOldHarv,latitudeOldHarv,longitudeOldHarv,AcresOldHarv,Acres PublicOldHarv,harvestunitOldHarv,Hunters Density Per Sq. MileOldHarv,Hunters Density Per Public Sq. MileOldHarv,onxOldHarv,TagsOldHarv,OTCCat,OTCOldHarv,DAU,Total_Hunters_estimate,Total_Hunters_SE,Total_Hunters_LCL,Total_Hunters_UCL,Total_Harvest_estimate,Total_Harvest_SE,Total_Harvest_LCL,Total_Harvest_UCL,Success_DAU,Total_Days_estimate,SE,LCL,UCL,Sample_Rate,Response_Rate,gmu_area_sqmi,public_sqmi,percent_public,latitude,longitude,Acres,Acres Public,Herd Name,Post Hunt Estimate,Buck/ Doe ratio (per 100),onx
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,130,1,128,132,106,3,100,112,0.82,559,34,497,629,1.01,0.65,  221.10808,  161.8396356938,73%,40.696142107485095,-108.9841079233654,"  141,509.17","  103,577.36684405",Little Snake,1460,29,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,130,1,128,132,106,3,100,112,0.82,559,34,497,629,1.01,0.65,"2,082.06853","1,747.2727827546",84%,40.74843738832308,-108.52102301461989,"1,332,523.86","1,118,254.58096294",Little Snake,1460,29,https://webmap.onxmaps.com/hunt/map#9.45/40.7484373883231/-108.52102301462
201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,130,1,128,132,106,3,100,112,0.82,559,34,497,629,1.01,0.65,  420.32655,  416.9956389203,99%,40.88191514370558,-108.88454776856622,"  269,008.99","  266,877.20890899",Little Snake,1460,29,https://webmap.onxmaps.com/hunt/map#9.45/40.8819151437056/-108.884547768566
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3586,55,3479,3586,2161,61,2044,2284,0.6,14973,482,14057,15949,0.52,0.6,"1,475.87942",  783.5156353910,53%,40.76013691691813,-107.92800926200428,"  944,562.83","  501,450.00665025",Bears Ears,21330,22,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3586,55,3479,3586,2161,61,2044,2284,0.6,14973,482,14057,15949,0.52,0.6,  816.08431,  371.7983534289,46%,40.78594452803292,-107.39991596865592,"  522,293.96","  237,950.94619452",Bears Ears,21330,22,https://webmap.onxmaps.com/hunt/map#9.45/40.7859445280329/-107.399915968656
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3586,55,3479,3586,2161,61,2044,2284,0.6,14973,482,14057,15949,0.52,0.6,  523.79037,  312.3663581701,60%,40.9224787729117,-107.0949103659137,"  335,225.84","  199,914.46922889",Bears Ears,21330,22,https://webmap.onxmaps.com/hunt/map#9.45/40.9224787729117/-107.094910365914
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3586,55,3479,3586,2161,61,2044,2284,0.6,14973,482,14057,15949,0.52,0.6,  710.64246,  608.0688545461,86%,40.64805223700346,-106.78235398060852,"  454,811.18","  389,164.06690952",Bears Ears,21330,22,https://webmap.onxmaps.com/hunt/map#9.45/40.6480522370035/-106.782353980609
214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3586,55,3479,3586,2161,61,2044,2284,0.6,14973,482,14057,15949,0.52,0.6,  401.06100,   89.8530839317,22%,40.642251620729446,-107.00814944638188,"  256,679.04","   57,505.97371631",Bears Ears,21330,22,https://webmap.onxmaps.com/hunt/map#9.45/40.6422516207294/-107.008149446382
301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3586,55,3479,3586,2161,61,2044,2284,0.6,14973,482,14057,15949,0.52,0.6,  641.10777,   82.0165077071,13%,40.583051909491914,-107.68891866903346,"  410,308.98","   52,490.56493253",Bears Ears,21330,22,https://webmap.onxmaps.com/hunt/map#9.45/40.5830519094919/-107.688918669033
441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3586,55,3479,3586,2161,61,2044,2284,0.6,14973,482,14057,15949,0.52,0.6,  337.37418,   94.9953922545,28%,40.61143317401913,-107.21064341338534,"  215,919.47","   60,797.05104290",Bears Ears,21330,22,https://webmap.onxmaps.com/hunt/map#9.45/40.6114331740191/-107.210643413385
