Tag,List,Class,Drawn_out_level,Successful_apps_at_DOL,Total_apps_at_DOL,Chance_at_DOL,Chance_with_First_choice,Animal,Sex,UnitCode,SeasonCode,Weapon,SeasonWeapon,DOL,Quota,Choice 1 Applicants,Dates,Notes,New,HD,hybrid,PLO,RFW,OTC,NoApps,nopoints,Valid GMUs,harvestunit,Total_Acres,Public_Acres,Public_Percent,Drawn_out_level24,Chance_at_DOL24,DOL24,Drawn_out_level23,Chance_at_DOL23,DOL23,Chance_at_DOLN,DOLE25,Chance_at_DOLN24,DOLE24,Chance_at_DOLN23,DOL3,DOLE23,slope,predictedDrawnOut,PredPrefPoints,Predpercent,PredPrefPercent
DF006E1R,A,A_R,2 Pref Points,5,15,33.0%,33.0%,D,F,006,E1,R,E1R,2,20,198,Oct. 1-7,,NA,No,No,No,No,No,NA,N,"6,16,17,161,171","6 All High Country Rifle Seasons,16 All High Country Rifle Seasons,17 All High Country Rifle Seasons,161 All High Country Rifle Seasons,171 All High Country Rifle Seasons",1803976,1225934,68%,NA,NA,NA,NA,NA,NA,0.6699999999999999,2.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF006E1R,A,A_NR,2 Pref Points,1,1,100.0%,100.0%,D,F,006,E1,R,E1R,2,20,198,Oct. 1-7,,NA,No,No,No,No,No,NA,N,"6,16,17,161,171","6 All High Country Rifle Seasons,16 All High Country Rifle Seasons,17 All High Country Rifle Seasons,161 All High Country Rifle Seasons,171 All High Country Rifle Seasons",1803976,1225934,68%,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF006E1R,A,Y_R,1 Pref Points,2,12,17.0%,NA,D,F,006,E1,R,E1R,1,20,198,Oct. 1-7,,NA,No,No,No,No,No,NA,N,"6,16,17,161,171","6 All High Country Rifle Seasons,16 All High Country Rifle Seasons,17 All High Country Rifle Seasons,161 All High Country Rifle Seasons,171 All High Country Rifle Seasons",1803976,1225934,68%,NA,NA,NA,NA,NA,NA,0.83,1.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF006E1R,A,Y_NR,None Drawn,NA,NA,NA,17.0%,D,F,006,E1,R,E1R,0,20,198,Oct. 1-7,,NA,No,No,No,No,No,Yes,N,"6,16,17,161,171","6 All High Country Rifle Seasons,16 All High Country Rifle Seasons,17 All High Country Rifle Seasons,161 All High Country Rifle Seasons,171 All High Country Rifle Seasons",1803976,1225934,68%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF006E1R,A,L_U,Choice 2,1,8,12.0%,100.0%,D,F,006,E1,R,E1R,-1,20,198,Oct. 1-7,,NA,No,No,No,No,No,NA,Y,"6,16,17,161,171","6 All High Country Rifle Seasons,16 All High Country Rifle Seasons,17 All High Country Rifle Seasons,161 All High Country Rifle Seasons,171 All High Country Rifle Seasons",1803976,1225934,68%,NA,NA,NA,NA,NA,NA,0.88,-0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DF006E1R,A,L_R,Choice 2,2,4,50.0%,100.0%,D,F,006,E1,R,E1R,-1,20,198,Oct. 1-7,,NA,No,No,No,No,No,NA,Y,"6,16,17,161,171","6 All High Country Rifle Seasons,16 All High Country Rifle Seasons,17 All High Country Rifle Seasons,161 All High Country Rifle Seasons,171 All High Country Rifle Seasons",1803976,1225934,68%,NA,NA,NA,NA,NA,NA,0.5,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM016E1R,A,A_R,0 Pref Points,3,17,18.0%,18.0%,D,M,016,E1,R,E1R,0,50,61,Oct. 1-7,,NA,No,No,No,No,No,NA,N,16,16 All High Country Rifle Seasons,355632,183364,51.6%,0 Pref Points,15.0%,0,0 Pref Points,21.0%,0,0.8200000000000001,0.8200000000000001,0.85,0.85,0.79,NA,0.79,0.014999999999999888,0.8499999999999999,0 Preference Points,0.15000000000000013,15%
DM016E1R,A,A_NR,0 Pref Points,1,7,14.0%,14.0%,D,M,016,E1,R,E1R,0,50,61,Oct. 1-7,,NA,No,No,No,No,No,NA,N,16,16 All High Country Rifle Seasons,355632,183364,51.6%,1 Pref Points,100.0%,1,1 Pref Points,100.0%,1,0.86,0.86,0,1,0,NA,1,-0.07000000000000003,0.8133333333333334,0 Preference Points,0.18666666666666665,19%
DM016E1R,A,Y_R,0 Pref Points,1,1,100.0%,100.0%,D,M,016,E1,R,E1R,0,50,61,Oct. 1-7,,NA,No,No,No,No,No,NA,N,16,16 All High Country Rifle Seasons,355632,183364,51.6%,1 Pref Points,100.0%,1,0 Pref Points,25.0%,0,0,0,0,1,0.75,NA,0.75,-0.37500000000000033,-0.16666666666666718,Choice 2,0.8333333333333328,83%
DM016E1R,A,Y_NR,3 Pref Points,1,1,100.0%,100.0%,D,M,016,E1,R,E1R,3,50,61,Oct. 1-7,,NA,No,No,No,No,No,NA,N,16,16 All High Country Rifle Seasons,355632,183364,51.6%,No Apps,NA,0,No Apps,NA,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM016E1R,A,L_U,1 Pref Points,4,4,100.0%,100.0%,D,M,016,E1,R,E1R,1,50,61,Oct. 1-7,,NA,No,No,No,No,No,NA,N,16,16 All High Country Rifle Seasons,355632,183364,51.6%,1 Pref Points,45.0%,1,1 Pref Points,14.0%,1,0,1,0.55,1.55,0.86,NA,1.8599999999999999,-0.4300000000000004,0.6099999999999994,0 Preference Points,0.39000000000000057,39%
DM016E1R,A,L_R,0 Pref Points,5,6,83.0%,83.0%,D,M,016,E1,R,E1R,0,50,61,Oct. 1-7,,NA,No,No,No,No,No,NA,N,16,16 All High Country Rifle Seasons,355632,183364,51.6%,1 Pref Points,45.0%,1,1 Pref Points,83.0%,1,0.17000000000000004,0.17000000000000004,0.55,1.55,0.17000000000000004,NA,1.17,-0.5000000000000004,-0.03666666666666685,Choice 2,0.9633333333333332,96%
DM017E1R,A,A_R,Choice 2,6,12,50.0%,100.0%,D,M,017,E1,R,E1R,-1,50,32,Oct. 1-7,,NA,No,No,No,No,No,NA,Y,17,17 All High Country Rifle Seasons,311812,213812,68.6%,0 Pref Points,14.0%,0,0 Pref Points,43.0%,0,0.5,-0.5,0.86,0.86,0.5700000000000001,NA,0.5700000000000001,-0.5350000000000005,-0.7600000000000005,Choice 2,0.23999999999999955,24%
DM017E1R,A,A_NR,Choice 2,2,2,100.0%,100.0%,D,M,017,E1,R,E1R,-1,50,32,Oct. 1-7,,NA,No,No,No,No,No,NA,Y,17,17 All High Country Rifle Seasons,311812,213812,68.6%,1 Pref Points,100.0%,1,0 Pref Points,18.0%,0,0,-1,0,1,0.8200000000000001,NA,0.8200000000000001,-0.9100000000000007,-1.5466666666666673,Choice 3,0.4533333333333327,45%
DM017E1R,A,Y_R,0 Pref Points,1,1,100.0%,NA,D,M,017,E1,R,E1R,0,50,32,Oct. 1-7,,NA,No,No,No,No,No,NA,N,17,17 All High Country Rifle Seasons,311812,213812,68.6%,0 Pref Points,75.0%,0,0 Pref Points,25.0%,0,0,0,0.25,0.25,0.75,NA,0.75,-0.3750000000000002,-0.41666666666666696,Choice 2,0.583333333333333,58%
DM017E1R,A,Y_NR,None Drawn,NA,NA,NA,100.0%,D,M,017,E1,R,E1R,0,50,32,Oct. 1-7,,NA,No,No,No,No,No,Yes,N,17,17 All High Country Rifle Seasons,311812,213812,68.6%,No Apps,NA,0,0 Pref Points,100.0%,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA
DM017E1R,A,L_U,2 Pref Points,4,5,80.0%,80.0%,D,M,017,E1,R,E1R,2,50,32,Oct. 1-7,,NA,No,No,No,No,No,NA,N,17,17 All High Country Rifle Seasons,311812,213812,68.6%,2 Pref Points,45.0%,2,2 Pref Points,50.0%,2,0.19999999999999996,2.2,0.55,2.55,0.5,NA,2.5,-0.15000000000000083,2.1166666666666663,2 Preference Points,0.8833333333333337,88%
DM017E1R,A,L_R,1 Pref Points,4,4,100.0%,100.0%,D,M,017,E1,R,E1R,1,50,32,Oct. 1-7,,NA,No,No,No,No,No,NA,N,17,17 All High Country Rifle Seasons,311812,213812,68.6%,2 Pref Points,56.0%,2,1 Pref Points,8.0%,1,0,1,0.43999999999999995,2.44,0.92,NA,1.92,-0.46000000000000074,0.8666666666666658,0 Preference Points,0.1333333333333342,13%
