DAU*,Herd Name,Post Hunt Estimate,Buck/ Doe ratio (per 100),Tag,Bucks,Does,Fawns,Total Harvest,Total Hunters,Percent Success,Total Rec. Days,LowResponse,List,Class,Drawn_out_level,Successful_apps_at_DOL,Total_apps_at_DOL,Chance_at_DOL,Chance_with_First_choice,Animal,Sex,UnitCode,SeasonCode,Weapon,SeasonWeapon,DOL,Quota,Choice 1 Applicants,Dates,Notes,New,HD,hybrid,PLO,RFW,OTC,NoApps,nopoints,Valid GMUs,harvestunit,Total_Acres,Public_Acres,Public_Percent,Hunters_per_Acre,Hunters_per_Public_Acre,Drawn_out_level24,Chance_at_DOL24,DOL24,Drawn_out_level23,Chance_at_DOL23,DOL23,Chance_at_DOLN,DOLE25,Chance_at_DOLN24,DOLE24,Chance_at_DOLN23,DOL3,DOLE23,slope,predictedDrawnOut,PredPrefPoints,Predpercent,PredPrefPercent
3,North Park,5410,36,DF006E1R,0,14,1,15,16,0.93799999999999994,35,No,A,A_R,2 Pref Points,5,15,33.0%,33.0%,D,F,006,E1,R,E1R,2,20,198,Oct. 1-7,,NA,No,No,No,No,No,NA,N,"6,16,17,161,171","6 All High Country Rifle Seasons,16 All High Country Rifle Seasons,17 All High Country Rifle Seasons,161 All High Country Rifle Seasons,171 All High Country Rifle Seasons",1803976,1225934,68%,8.869297595976886e-6,1.3051273559588037e-5,NA,NA,NA,NA,NA,NA,0.6699999999999999,2.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,North Park,5410,36,DF006E1R,0,14,1,15,16,0.93799999999999994,35,No,A,A_NR,2 Pref Points,1,1,100.0%,100.0%,D,F,006,E1,R,E1R,2,20,198,Oct. 1-7,,NA,No,No,No,No,No,NA,N,"6,16,17,161,171","6 All High Country Rifle Seasons,16 All High Country Rifle Seasons,17 All High Country Rifle Seasons,161 All High Country Rifle Seasons,171 All High Country Rifle Seasons",1803976,1225934,68%,8.869297595976886e-6,1.3051273559588037e-5,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,North Park,5410,36,DF006E1R,0,14,1,15,16,0.93799999999999994,35,No,A,Y_R,1 Pref Points,2,12,17.0%,NA,D,F,006,E1,R,E1R,1,20,198,Oct. 1-7,,NA,No,No,No,No,No,NA,N,"6,16,17,161,171","6 All High Country Rifle Seasons,16 All High Country Rifle Seasons,17 All High Country Rifle Seasons,161 All High Country Rifle Seasons,171 All High Country Rifle Seasons",1803976,1225934,68%,8.869297595976886e-6,1.3051273559588037e-5,NA,NA,NA,NA,NA,NA,0.83,1.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,North Park,5410,36,DF006E1R,0,14,1,15,16,0.93799999999999994,35,No,A,Y_NR,None Drawn,NA,NA,NA,17.0%,D,F,006,E1,R,E1R,0,20,198,Oct. 1-7,,NA,No,No,No,No,No,Yes,N,"6,16,17,161,171","6 All High Country Rifle Seasons,16 All High Country Rifle Seasons,17 All High Country Rifle Seasons,161 All High Country Rifle Seasons,171 All High Country Rifle Seasons",1803976,1225934,68%,8.869297595976886e-6,1.3051273559588037e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,North Park,5410,36,DF006E1R,0,14,1,15,16,0.93799999999999994,35,No,A,L_U,Choice 2,1,8,12.0%,100.0%,D,F,006,E1,R,E1R,-1,20,198,Oct. 1-7,,NA,No,No,No,No,No,NA,Y,"6,16,17,161,171","6 All High Country Rifle Seasons,16 All High Country Rifle Seasons,17 All High Country Rifle Seasons,161 All High Country Rifle Seasons,171 All High Country Rifle Seasons",1803976,1225934,68%,8.869297595976886e-6,1.3051273559588037e-5,NA,NA,NA,NA,NA,NA,0.88,-0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,North Park,5410,36,DF006E1R,0,14,1,15,16,0.93799999999999994,35,No,A,L_R,Choice 2,2,4,50.0%,100.0%,D,F,006,E1,R,E1R,-1,20,198,Oct. 1-7,,NA,No,No,No,No,No,NA,Y,"6,16,17,161,171","6 All High Country Rifle Seasons,16 All High Country Rifle Seasons,17 All High Country Rifle Seasons,161 All High Country Rifle Seasons,171 All High Country Rifle Seasons",1803976,1225934,68%,8.869297595976886e-6,1.3051273559588037e-5,NA,NA,NA,NA,NA,NA,0.5,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,North Park,5410,36,DM016E1R,20,0,0,20,40,0.5,145,No,A,A_R,0 Pref Points,3,17,18.0%,18.0%,D,M,016,E1,R,E1R,0,50,61,Oct. 1-7,,NA,No,No,No,No,No,NA,N,16,16 All High Country Rifle Seasons,355632,183364,51.6%,1.1247581769919467e-4,2.1814532841779192e-4,0 Pref Points,15.0%,0,0 Pref Points,21.0%,0,0.8200000000000001,0.8200000000000001,0.85,0.85,0.79,NA,0.79,0.014999999999999888,0.8499999999999999,0 Preference Points,0.15000000000000013,15%
3,North Park,5410,36,DM016E1R,20,0,0,20,40,0.5,145,No,A,A_NR,0 Pref Points,1,7,14.0%,14.0%,D,M,016,E1,R,E1R,0,50,61,Oct. 1-7,,NA,No,No,No,No,No,NA,N,16,16 All High Country Rifle Seasons,355632,183364,51.6%,1.1247581769919467e-4,2.1814532841779192e-4,1 Pref Points,100.0%,1,1 Pref Points,100.0%,1,0.86,0.86,0,1,0,NA,1,-0.07000000000000003,0.8133333333333334,0 Preference Points,0.18666666666666665,19%
3,North Park,5410,36,DM016E1R,20,0,0,20,40,0.5,145,No,A,Y_R,0 Pref Points,1,1,100.0%,100.0%,D,M,016,E1,R,E1R,0,50,61,Oct. 1-7,,NA,No,No,No,No,No,NA,N,16,16 All High Country Rifle Seasons,355632,183364,51.6%,1.1247581769919467e-4,2.1814532841779192e-4,1 Pref Points,100.0%,1,0 Pref Points,25.0%,0,0,0,0,1,0.75,NA,0.75,-0.37500000000000033,-0.16666666666666718,Choice 2,0.8333333333333328,83%
3,North Park,5410,36,DM016E1R,20,0,0,20,40,0.5,145,No,A,Y_NR,3 Pref Points,1,1,100.0%,100.0%,D,M,016,E1,R,E1R,3,50,61,Oct. 1-7,,NA,No,No,No,No,No,NA,N,16,16 All High Country Rifle Seasons,355632,183364,51.6%,1.1247581769919467e-4,2.1814532841779192e-4,No Apps,NA,0,No Apps,NA,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
