Unit,Season,Bulls,Cows,Calves,Total Harvest,Total Hunters,Percent Success,Total Rec. Days,Category,Antlerless,gmu_area_sqmi,public_sqmi,percent_public,latitude,longitude,Acres,Acres Public,harvestunit,Hunters Density Per Sq. Mile,Hunters Density Per Public Sq. Mile,onx,Tags,OTCAA,OTCAE,OTC2R,OTC3R,OTCplainsR,OTC3RPLO,OTC2RPLO,OTCAplains,OTCAplainsF,OTC
1,NA,6,NA,NA,30,82,37,350,All manners of take,24,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 All manners of take,370.9,506.7,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365,"EE001E1R,EE001O1A,EF001L1R,EF001O1M,EF001O1R,EF001O2R,EF001O3R,EF001O4R,EF001P5R,EM001O1M",NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,NA,6,NA,NA,30,77,39,309,All Rifle Seasons,24,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 All Rifle Seasons,348.2,475.8,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365,"EE001E1R,EE001O1A,EF001L1R,EF001O1M,EF001O1R,EF001O2R,EF001O3R,EF001O4R,EF001P5R,EM001O1M",NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,NA,6,NA,NA,6,11,55,60,All Early High Country Seasons,0,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 All Early High Country Seasons,49.7,68,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365,"EE001E1R,EE001O1A,EF001L1R,EF001O1M,EF001O1R,EF001O2R,EF001O3R,EF001O4R,EF001P5R,EM001O1M",NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,NA,0,NA,NA,1,6,16,24,Late Seasons (Including PLOs),1,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 Late Seasons (Including PLOs),27.1,37.1,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365,"EE001E1R,EE001O1A,EF001L1R,EF001O1M,EF001O1R,EF001O2R,EF001O3R,EF001O4R,EF001P5R,EM001O1M",NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,NA,0,NA,NA,1,2,50,7,Private Land Only Seasons,1,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 Private Land Only Seasons,9,12.4,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365,"EE001E1R,EE001O1A,EF001L1R,EF001O1M,EF001O1R,EF001O2R,EF001O3R,EF001O4R,EF001P5R,EM001O1M",NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,NA,0,NA,NA,0,6,0,16,First Rifle Seasons (All Harvest - Includes PLOs),0,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 First Rifle Seasons (All Harvest - Includes PLOs),27.1,37.1,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365,"EE001E1R,EE001O1A,EF001L1R,EF001O1M,EF001O1R,EF001O2R,EF001O3R,EF001O4R,EF001P5R,EM001O1M",NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,NA,0,NA,NA,12,21,57,87,Second Rifle Seasons (All Harvest - Includes PLOs),11,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 Second Rifle Seasons (All Harvest - Includes PLOs),95,129.8,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365,"EE001E1R,EE001O1A,EF001L1R,EF001O1M,EF001O1R,EF001O2R,EF001O3R,EF001O4R,EF001P5R,EM001O1M",NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,NA,0,NA,NA,8,13,61,51,Third Rifle Seasons (All Harvest - Includes PLOs),8,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 Third Rifle Seasons (All Harvest - Includes PLOs),58.8,80.3,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365,"EE001E1R,EE001O1A,EF001L1R,EF001O1M,EF001O1R,EF001O2R,EF001O3R,EF001O4R,EF001P5R,EM001O1M",NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,NA,0,NA,NA,3,18,14,64,Fourth Rifle Seasons (All Harvest - Includes PLOs),3,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 Fourth Rifle Seasons (All Harvest - Includes PLOs),81.4,111.2,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365,"EE001E1R,EE001O1A,EF001L1R,EF001O1M,EF001O1R,EF001O2R,EF001O3R,EF001O4R,EF001P5R,EM001O1M",NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,NA,0,NA,NA,0,0,0,Not Reported,All Antlered Rifle Seasons,0,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 All Antlered Rifle Seasons,0,0,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365,"EE001E1R,EE001O1A,EF001L1R,EF001O1M,EF001O1R,EF001O2R,EF001O3R,EF001O4R,EF001P5R,EM001O1M",NA,NA,NA,NA,NA,NA,NA,NA,NA,
