Unit,Season,Bulls,Cows,Calves,Total Harvest,Total Hunters,Percent Success,Total Rec. Days,Category,Antlerless,TH23,PS23,TH22,PS22,threeyearsuccess,threeyearshunters,slope,gmu_area_sqmi,public_sqmi,percent_public,latitude,longitude,Acres,Acres Public,harvestunit,Hunters Density Per Sq. Mile,Hunters Density Per Public Sq. Mile,onx,Tags,OTC,OTCCat
6,NA,27,NA,NA,37,628,6,4345,All Archery Seasons,10,682,5,696,5,5%,669,0.4999999999999989,  618,  425,69%,40.75795403659599,-106.13816698901816,"  395,314","  272,014",6 All Archery Seasons,1016.7,1477.6,https://webmap.onxmaps.com/hunt/map#9.45/40.757954036596/-106.138166989018,"EE006O1R,EF006O1R,EE006O1M,EF006O1M,EF006O2R,EF006O3R,EE006O4R,EF006O4R,EE006P1R,EF006P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE006V1A,EF006V1A,EE006W1R,EF006W1R,EF006W2R,EF006W3R,EF006W4R",OTCAA,Archery Antlerless
16,NA,27,NA,NA,33,452,7,2444,All Archery Seasons,7,744,7,771,7,7%,656,-7.691850745534258e-16,  556,  287,52%,40.59127558829043,-106.54270418428226,"  355,632","  183,364",16 All Archery Seasons,813.4,1577.6,https://webmap.onxmaps.com/hunt/map#9.45/40.5912755882904/-106.542704184282,"EE006O1R,EF006O1R,EE006O1M,EF006O1M,EF006O2R,EF016O3R,EE016O4R,EF016O4R,EE006P1R,EF006P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE006V1A,EF006V1A,EE006W1R,EF006W1R,EF006W2R,EF006W3R,EF006W4R",OTCAA,Archery Antlerless
17,NA,44,NA,NA,50,617,8,3442,All Archery Seasons,6,670,5,677,6,6%,655,0.9999999999999992,  487,  334,69%,40.46855537653808,-106.31715842380244,"  311,812","  213,812",17 All Archery Seasons,1266.4,1846.9,https://webmap.onxmaps.com/hunt/map#9.45/40.4685553765381/-106.317158423802,"EE006O1R,EF006O1R,EE006O1M,EF006O1M,EF006O2R,EF017O3R,EE017O4R,EF017O4R,EE006P1R,EF006P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE006V1A,EF006V1A",OTCAA,Archery Antlerless
18,NA,60,NA,NA,73,1070,7,6503,All Archery Seasons,13,1356,4,1157,6,6%,1194,0.5000000000000003,"1,109",  716,65%,40.23015999963011,-105.97606297890532,"  709,781","  458,386",18 All Archery Seasons,964.8,1493.9,https://webmap.onxmaps.com/hunt/map#9.45/40.2301599996301/-105.976062978905,"EF018L1R,EE018O1R,EF018O1R,EE018O1M,EF018O1M,EF018O2R,EF018O3R,EE018O4R,EF018O4R,EE018P1R,EE018P4R,EF018P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE018V1A,EF018V1A",OTCAA,Archery Antlerless
21,NA,64,NA,NA,94,633,15,4474,All Archery Seasons,31,633,15,681,11,14%,649,1.999999999999997,"1,509","1,326",88%,39.85774449788705,-108.80289524752595,"  965,610","  848,591",21 All Archery Seasons,419.5,477.4,https://webmap.onxmaps.com/hunt/map#9.45/39.857744497887/-108.802895247526,"EF021O1R,EM021O1R,EE021O1M,EF021O1M,EE021O1R,EF021O2R,EF021O3R,EM021O4R,EF021O4R,EE021O4R,EE021P1R,EE021P1A,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE021V1A,EF021V1A",OTCAA,Archery Antlerless
22,NA,135,NA,NA,158,724,22,5326,All Archery Seasons,23,748,12,797,13,16%,756,4.499999999999999,"1,680","1,289",77%,39.886419868391634,-108.28245258861124,"1,075,014","  825,166",22 All Archery Seasons,431,561.5,https://webmap.onxmaps.com/hunt/map#9.45/39.8864198683916/-108.282452588611,"EF022L1R,EF021O1R,EM021O1R,EE021O1M,EF021O1M,EE021O1R,EF021O2R,EF021O3R,EM021O4R,EF021O4R,EE021O4R,EE021P1R,EE021P1A,EF022P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE021V1A,EF021V1A",OTCAA,Archery Antlerless
30,NA,10,NA,NA,22,162,14,933,All Archery Seasons,12,225,12,198,7,11%,195,3.4999999999999982,"1,451","1,073",74%,39.33317031774471,-108.77099754861048,"  928,827","  686,736",30 All Archery Seasons,111.6,151,https://webmap.onxmaps.com/hunt/map#9.45/39.3331703177447/-108.77099754861,"EF030L1R,EF021O1R,EM021O1R,EE021O1M,EF021O1M,EE021O1R,EF021O2R,EF030O3R,EM021O4R,EF030O4R,EE021O4R,EE021P1R,EE021P1A,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE021V1A,EF021V1A",OTCAA,Archery Antlerless
31,NA,54,NA,NA,67,342,20,2337,All Archery Seasons,13,326,8,332,20,16%,333,-1.2560739669470205e-15,"1,178",  679,58%,39.43550762747674,-108.40337625907118,"  753,712","  434,248",31 All Archery Seasons,290.4,504,https://webmap.onxmaps.com/hunt/map#9.45/39.4355076274767/-108.403376259071,"EF031L1R,EF021O1R,EM021O1R,EE021O1M,EF021O1M,EE021O1R,EF021O2R,EF030O3R,EM021O4R,EF030O4R,EE021O4R,EE021P1R,EE021P1A,EF022P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE021V1A,EF021V1A",OTCAA,Archery Antlerless
32,NA,54,NA,NA,64,410,16,2801,All Archery Seasons,10,317,26,335,11,18%,354,2.4999999999999947,  507,  199,39%,39.56439704833727,-108.03367958650692,"  324,575","  127,531",32 All Archery Seasons,808.4,2057.5,https://webmap.onxmaps.com/hunt/map#9.45/39.5643970483373/-108.033679586507,"EF021O1R,EM021O1R,EE021O1M,EF021O1M,EE021O1R,EF021O2R,EF030O3R,EM021O4R,EF030O4R,EE021O4R,EE021P1R,EE021P1A,EF022P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE021V1A,EF021V1A",OTCAA,Archery Antlerless
38,NA,23,NA,NA,32,478,7,3582,All Archery Seasons,9,510,10,454,7,8%,481,-1.2560739669470205e-15,  774,  237,31%,39.82568147662041,-105.36350087351084,"  495,372","  151,588",38 All Archery Seasons,617.6,2018.1,https://webmap.onxmaps.com/hunt/map#9.45/39.8256814766204/-105.363500873511,"EF038L1R,EF038L2R,EM038O1R,EF038O1R,EM038O1M,EF038O1M,EF038O2R,EF038O3R,EM038O4R,EF038O4R,EF038P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE038V1A,EF038V1A",OTCAA,Archery Antlerless
